County,CrimesPer100K,Area,Pop100K,Pop18-34,Pop65+,Physicians,BedsPer100K,HSGrad,Bachelors,Poverty,Unemploy,IncKperCapita,Region
"Suffolk, NY",50.476,911,13.21864,27.9,10.8,3021,295.3405191,82.2,23,3.3,7,24.262,NE
"Nassau, NY",33.56,287,12.87348,25.7,14.2,6147,403.9311826,84.2,30,2.5,5.1,31.679,NE
"Alameda, CA",83.911,738,12.79182,30.8,10.6,3169,256.7265643,81.4,28.8,8.1,5.3,22.148,W
"Broward, FL",85.533,1209,12.55488,25.3,20.7,2456,441.5016312,76.8,18.8,7.1,7.4,22.355,S
"Bexar, TX",112.282,1247,11.85394,29.5,9.9,3062,344.695519,72.7,19.7,16.2,6.7,15.508,S
"Riverside, CA",81.59,7208,11.70413,27.9,13.2,1385,208.0462196,74.1,14.6,8.4,10.7,17.185,W
"Tarrant, TX",113.234,864,11.70103,32.2,8.3,1677,313.8185271,79.9,24,8.2,6.6,18.825,S
"Oakland, MI",47.032,873,10.83592,27.6,10.9,4020,300.297529,84.6,30.2,4.4,7.3,26.884,NC
"Sacramento, CA",80.968,966,10.41219,29.7,10.6,2464,274.1978393,82.2,23,9.8,6.3,18.934,W
"Hennepin, MN",69.499,557,10.32431,31.6,11.3,3706,522.553081,88.2,31.6,6.4,4.3,23.705,NC
"St._Louis, MO",42.872,508,9.93529,26.1,13.1,1194,106.2877883,82.3,29.2,4,5.1,24.219,NC
"Erie, NY",57.103,1045,9.68532,27.3,15.2,2748,478.2495571,76.4,20,9.4,6.8,18.305,NE
"Franklin, OH",85.996,540,9.61437,33.5,9.6,2675,417.1880217,81,26.6,9.1,4.2,19.04,NC
"Milwaukee, WI",76.809,242,9.59275,29.3,13.6,2774,431.6801751,76.3,19.3,12.6,4.9,18.431,NC
"Westchester, NY",42.427,433,8.74866,26.3,14.4,4577,404.6333953,81,35.3,4.7,5.4,33.33,NE
"Hamilton, OH",66.043,407,8.66228,28,13.3,3164,540.6197906,75.6,23.7,10.3,4.5,20.58,NC
"Palm_Beach, FL",88.177,1974,8.63518,23.3,24.4,1833,366.4081119,78.8,22.1,6.2,8.4,26.798,S
"Hartford, CT",60.962,736,8.51783,28.3,14.1,2851,345.1583326,77.7,25.8,6,6.9,24.875,NE
"Pinellas, FL",73.203,280,8.51659,22.4,26,1620,523.4489391,78.1,18.5,6.2,6.2,21.61,S
"Honolulu, HI",61.026,600,8.36231,30.6,11,2025,259.9760114,81.2,24.6,5.4,2.3,21.307,W
"Hillsborough, FL",107.781,1051,8.34054,29.4,12.2,2012,367.8418903,75.6,20.2,9.5,6,16.876,S
"Fairfield, CT",53.615,626,8.27645,26.7,13.3,2417,301.3369259,81,34.2,4.5,5.9,32.342,NE
"Shelby, TN",81.12,755,8.2633,29.4,10.4,2489,595.1617393,75.1,20.8,14.7,5.4,18.43,S
"Bergen, NJ",34.555,234,8.2538,25.4,15.3,3226,276.1152439,81.6,31.7,2.7,5.2,32.23,NE
"Fairfax_County, VA",36.895,396,8.18584,29.2,6.5,1694,16.49189332,91.4,49,2.2,3.2,28.999,S
"New_Haven, CT",65.782,606,8.04219,28.7,14.7,3161,309.1197796,77.5,24.2,6,7.3,22.197,NE
"Contra_Costa, CA",63.756,720,8.03732,26.5,10.9,1761,221.5912767,86.5,31.6,5.5,5.6,25.523,W
"Marion, IN",76.527,396,7.97159,30.6,11.7,2936,583.8233025,76.8,21.4,9.3,5,19.148,NC
"DuPage, IL",38.006,334,7.81666,29,8.7,2157,235.6505208,88.6,36,1.7,4.8,26.772,NC
"Essex, NJ",97.14,126,7.78206,28.6,12.7,2811,622.0717908,70.1,24,11.3,7.9,24.523,NE
"Montgomery, MD",45.909,495,7.57027,28.6,10.2,4635,199.068197,90.6,49.9,2.7,3.3,30.081,S
"Clark, NV",71.192,7911,7.41459,29,10.5,969,271.2220096,77.3,13.8,7.5,5.8,18.625,W
"Baltimore_City, MD",118.687,81,7.36014,30,13.7,5444,842.7828818,60.7,15.5,17.8,9.4,17.263,S
"Prince_George's, MD",74.69,486,7.29268,33.7,6.9,1253,181.2776647,83.2,25.5,3.7,5,19.568,S
"Salt_Lake, UT",80.735,737,7.25956,27.8,8.5,2094,285.9677446,85.3,23.8,7.7,4.5,15.399,W
"San_Francisco, CA",98.395,47,7.23959,32.2,14.5,4761,502.7909039,78,35,9.7,5.6,28.532,W
"Macomb, MI",57.218,480,7.174,28.2,12.3,705,167.5494842,76.9,13.5,4,9.4,20.924,NC
"Monroe, NY",61.319,659,7.13968,29,12.5,2438,430.9716962,80.1,26.3,7.7,4.4,21.641,NE
"Worcester, MA",10.003,1513,7.09705,29.2,13.7,1902,310.6924708,77.4,22.2,6.3,10.2,19.895,NE
"Baltimore, MD",67.601,599,6.92134,27.8,14,1269,92.61212424,78.4,25,3.8,5.7,23.47,S
"Montgomery, PA",29.988,483,6.78111,26.1,15,3237,357.6110696,83.8,32.1,2.2,5,28.462,NE
"Orange, FL",77.605,908,6.77491,33.2,10.6,1367,432.3304664,78.8,21.2,7.8,6.6,17.879,S
"Duval, FL",101.915,774,6.72971,30.7,10.7,1538,389.7641949,76.9,18.4,9.8,6.6,17.662,S
"Middlesex, NJ",45.473,311,6.7178,31.6,11.8,1637,279.8535235,79.4,26.5,3.4,5.7,24.896,NE
"Essex, MA",51.206,498,6.7008,27.3,14.1,1185,299.8149475,80.2,25.9,7.5,9,22.834,NE
"Ventura, CA",45.193,1846,6.69016,28.8,9.4,1168,205.0773076,79.4,23,5,7,21.42,W
"Fresno, CA",92.891,5963,6.6749,28.3,10.4,1188,251.8389789,66.2,16.9,16.8,12.6,16.365,W
"Pima, AZ",85.549,9187,6.6688,28.9,13.7,1841,302.303263,80.5,23.3,12,3.9,15.191,W
"Jefferson, KY",48.755,385,6.64937,27,13.4,2171,535.2386767,74.1,19.3,10.9,6.3,19.14,S
"Suffolk, MA",103.641,59,6.63906,39.2,12.1,5674,926.9384521,75.4,27.7,14.4,8.7,23.15,NE
"Jefferson, AL",85.344,1113,6.51525,26.7,14,2532,706.3428111,73.8,19.9,12.7,5.3,18.624,S
"San_Mateo, CA",46.909,449,6.49623,28.4,12.3,1814,252.7619866,84.1,31.3,4.3,4.2,28.819,W
"Fulton, GA",143.347,529,6.48951,31.6,10,3368,887.1239893,77.8,31.6,15.4,5.3,22.819,S
"Jackson, MO",97.531,605,6.33232,28.1,13.1,1695,594.0950552,79.5,20,9.8,6.5,18.611,NC
"Norfolk, MA",24.071,400,6.16087,28.8,14.1,2758,308.8849464,88,34.4,3.1,7.5,26.909,NE
"District_of_Columbia, DC",106.102,61,6.069,33.6,12.8,3674,702.2573735,73.1,33.3,13.3,7.7,23.603,S
"Oklahoma, OK",95.137,709,5.99611,28.4,12.1,1922,581.5437008,79.1,22.6,11.3,6,17.741,S
"Providence, RI",58.073,413,5.9627,29.9,15.8,1862,395.7938518,67,18.3,8.9,9,17.866,NE
"El_Paso, TX",91.28,1013,5.9161,29.5,8.1,795,278.899951,63.7,15.2,22.4,10.8,11.545,S
"Pierce, WA",71.613,1676,5.86203,29.5,10.5,915,209.1425667,83.2,17.5,8.7,6.4,16.194,W
"Multnomah, OR",99.704,435,5.83887,28.4,13.6,2571,515.3394407,82.9,23.7,8.9,5.1,19.215,W
"Travis, TX",105.76,989,5.76407,38,7.3,1254,241.4960262,83.4,34.7,10.2,4.8,18.34,S
"Montgomery, OH",63.898,462,5.73809,28.1,12.6,1313,534.6726873,77.8,20,9.8,5.7,18.41,NC
"Monmouth, NJ",40.32,472,5.53124,25.6,12.7,1300,344.226611,82.8,28.4,3.4,5.8,27.391,NE
"Hudson, NJ",73.37,47,5.53099,31.5,12.7,1036,441.6930785,64.1,19.7,12.4,9,18.463,NE
"Delaware, PA",34.555,184,5.47651,27.6,15.5,1374,289.9656898,81.4,24.8,5,5.3,23.658,NE
"De_Kalb, GA",104.335,268,5.45837,32.6,8.5,1036,168.9148958,83.9,32.7,7.2,4.4,21.005,S
"Kern, CA",66.825,8142,5.43477,28.3,9.7,682,219.6965097,67.6,13.3,13.7,11.8,15.881,W
"Bucks, PA",31.217,608,5.41174,26.6,10.9,879,265.164254,82.9,24.8,2.9,6.7,22.548,NE
"Lake, IL",43.277,448,5.16418,28.9,8.4,1093,290.2687358,84.7,32,3.7,4.6,27.378,NC
"Summit, OH",50.929,413,5.1499,26.8,13.8,1216,432.2414027,78.3,19.7,9.5,6,18.583,NC
"Mecklenburg, NC",113.405,527,5.11433,32,9.4,1114,395.164176,81.6,28.3,7.2,4.8,20.942,S
"Davidson, TN",88.564,502,5.10784,32.1,11.6,2293,753.1559328,75.9,24.4,10,4.6,19.505,S
"Bristol, MA",43.496,556,5.06325,27.6,14.4,572,257.9370957,65,15.9,7.4,12.3,18.521,NE
"Tulsa, OK",78.468,570,5.03341,28.2,11.5,1158,499.065246,81.7,23.7,10,6.1,19.295,S
"Camden, NJ",69.237,222,5.02824,27.5,12.2,1255,405.9074348,75.5,21,8,6.9,19.93,NE
"Kent, MI",63.026,856,5.00631,29.6,10.8,1007,291.6319605,80.3,20.7,6.9,7.5,18.674,NC
"Orleans, LA",109.144,181,4.96938,28.3,13,2500,808.5515698,68.1,22.4,27.3,6.1,16.578,S
"Union, NJ",61.356,103,4.93819,26.8,15,1362,514.5610031,75.2,25,5.3,6.9,26.248,NE
"Ramsey, MN",62.94,156,4.85765,31,12.2,1512,234.6813789,85,28.8,8.1,4.3,20.303,NC
"San_Joaquin, CA",85.677,1399,4.80628,27.7,11.1,666,218.6722372,68.6,13.2,12,12,15.453,W
"Bernalillo, NM",85.897,1166,4.80577,29.2,10.5,1585,359.1516032,82.1,26.7,10.9,5.2,17.518,W
"Lake, IN",62.923,497,4.75594,25.5,12.3,707,507.3655261,73.5,12.8,11.7,7.1,16.327,NC
"Onondaga, NY",49.574,780,4.68973,29.4,13,1534,355.6707955,80.7,24.4,7.1,5.6,19.401,NE
"Denver, CO",80.122,153,4.6761,30.3,13.8,2867,780.9927076,79.2,29,13.1,5.4,22.156,W
"Snohomish, WA",43.645,2090,4.65642,28.1,9.5,502,144.3168786,85.7,19.3,4.9,5.6,18.545,W
"Lucas, OH",82.606,340,4.62361,27.8,13,1391,653.385558,76.2,17,12,8.8,17.815,NC
"Hampden, MA",53.137,619,4.5631,27.8,14.8,904,364.8835222,73.6,17.6,10.9,9.6,19.073,NE
"Passaic, NJ",58.345,185,4.5306,28.9,12.9,831,422.0191586,68.8,18.7,7.6,8.1,21.973,NE
"Jefferson, LA",92.85,306,4.48306,28.1,10.2,1237,367.6060548,76,18.8,11.4,5.6,17.101,S
"Cobb, GA",61.602,340,4.47745,31.7,6.3,622,219.5446069,85.8,33,3.8,4.1,21.933,S
"New_Castle, DE",62.716,426,4.41946,30.6,11.4,1038,336.6927181,80.6,25.2,5,6.2,22.284,NE
"Jefferson, CO",53.493,772,4.3843,26.9,8,551,67.96980134,89.8,30.7,4.1,4.1,20.997,W
"Plymouth, MA",34.107,661,4.35276,27.1,11.6,576,186.7780443,83.8,22.2,5.3,10.4,21.5,NE
"Ocean, NJ",40.117,636,4.33203,22.4,23.2,513,340.4870234,74.9,15.3,4.3,7.4,20.974,NE
"Genesee, MI",76.978,640,4.30459,27.2,10.2,692,425.1275964,76.8,12.8,14,12.6,16.829,NC
"Anne_Arundel, MD",51.086,416,4.27239,29.6,8.8,616,144.4156549,81.1,24.6,3,5,22.797,S
"Wake, NC",61.425,834,4.2338,34.5,7.8,761,283.1971279,85.4,35.3,5.5,3.5,20.658,S
"Lancaster, PA",30.949,949,4.22822,27.2,13.1,574,293.5041223,70.5,16.7,5.3,5.3,18.878,NE
"Morris, NJ",28.829,469,4.21353,26.7,10.6,1147,379.4917801,87,36.7,1.8,5.1,31.52,NE
"Douglas, NE",62.448,331,4.16444,29,11.4,1603,693.7307297,84.5,24.9,8.1,2.9,19.629,NC
"Polk, FL",91.987,1875,4.05382,23.9,18.6,559,317.72501,68,12.9,9.4,10.1,14.835,S
"Sedgwick, KS",84.405,1000,4.03662,28.5,11.4,930,455.8269047,82.4,22.2,8.3,4.5,19.276,NC
"Brevard, FL",59.367,1019,3.98978,26.2,16.6,563,271.944819,82.3,20.4,6.3,7.1,17.668,S
"El_Paso, CO",63.559,2127,3.97014,31.7,8,548,258.4291738,88.3,25.8,8.1,6.1,16.807,W
"St._Louis_City, MO",161.597,62,3.96685,28.7,16.6,4189,1969.824924,62.8,15.3,20.6,9,18.113,NC
"Burlington, NJ",32.992,805,3.95066,28.8,10.7,719,291.0906026,81.9,23.6,3.1,5.6,23.008,NE
"VA_Beach_City, VA",59.562,248,3.93069,35.3,5.9,679,134.8363773,88,25.5,4.3,5.4,17.697,S
"Arapahoe, CO",70.463,803,3.91511,28.3,7.4,583,189.5221335,91.5,35.2,4.4,3.9,22.507,W
"Sonoma, CA",47.797,1576,3.88222,25.8,13.4,840,205.5524932,84.4,24.5,5.2,5.7,22.055,W
"Hidalgo, TX",69.645,1569,3.83545,26.4,10.1,311,224.2240154,46.6,11.5,36.3,17.6,8.899,S
"East_Baton_Rouge, LA",109.422,456,3.80105,31.5,9.2,841,493.5478355,80.5,27.5,15.1,5.4,17.881,S
"Mobile, AL",80.31,1233,3.78643,26.7,11.8,850,501.2637233,70.1,15.5,17.5,7.2,14.389,S
"Chester, PA",25.215,756,3.76396,27.1,10.9,594,244.4234264,84.9,34.7,3,4.6,24.732,NE
"Volusia, FL",69.423,1106,3.70712,24.3,22.8,495,363.8943439,75.4,14.8,7.9,6.9,15.648,S
"Stanislaus, CA",68.717,1495,3.70522,27.4,10.8,558,352.4756964,68.4,13,11.4,14.3,15.238,W
"Westmoreland, PA",20.104,1023,3.70321,23.3,17.1,522,352.6670105,77.7,15.4,8.6,6.9,17.069,NE
"Santa_Barbara, CA",49.547,2739,3.69608,32.8,12.3,875,278.9441787,80,26.6,7.4,6,21.902,W
"Stark, OH",47.516,576,3.67585,24.9,14.4,595,418.1345811,76,14.3,8.9,6.9,16.898,NC
"Dane, WI",55.42,1202,3.67085,35.6,9.3,1603,376.479562,88.9,34.2,4.8,3.1,20.087,NC
"Spokane, WA",55.462,1764,3.61364,27,13.2,852,372.4776126,84.4,20.6,9.8,6.2,16.365,W
"Will, IL",45.988,837,3.57313,27.4,8.6,298,208.780537,80.4,18,4.5,7.4,18.787,NC
"Monterey, CA",50.245,3322,3.5566,32.6,9.8,515,169.2627791,72.9,21.5,8.5,10.9,19.465,W
"Johnson, KS",42.917,477,3.55054,27.5,9.4,1173,260.5237513,92.9,40.5,2.5,3.3,26.156,NC
"Gwinnett, GA",48.508,433,3.5291,32.6,4.7,271,124.3943215,86.7,29.6,2.9,4,19.861,S
"Pulaski, AR",121.272,771,3.4966,28.5,11.5,1510,796.4880169,79,23.5,10.5,5.8,18.225,S
"Guilford, NC",81.204,650,3.4742,30.4,11.9,676,341.9492257,76.1,24.8,7.3,5.4,20.349,S
"Solano, CA",63.909,828,3.40421,29.7,8.2,481,147.758217,82.7,18.7,6,7,17.268,W
"York, PA",33.253,905,3.39574,26.6,13.1,460,280.056777,72.8,13.9,4.3,6.2,19.502,NE
"Berks, PA",38.116,859,3.36523,26.1,15.6,567,309.3399262,70,15.1,5.2,6.7,19.655,NE
"Hillsborough, NH",38.215,877,3.36073,30,10.3,587,312.4321204,82.2,26.4,4,7.5,22.581,NE
"Knox, TN",66.782,509,3.35749,30,12.7,984,648.6988792,74.6,23.9,10.2,4.6,17.382,S
"Lee, FL",55.032,804,3.35113,21.5,24.7,509,358.6849809,76.9,16.4,6.1,6.4,18.877,S
"Luzerne, PA",15.182,891,3.28149,24.1,19.7,594,455.5857248,72,13.1,8.3,8.8,16.405,NE
"Mercer, NJ",61.852,226,3.25824,29.2,13,994,529.1200157,77.1,29.5,5.3,5.5,26.026,NE
"Greenville, SC",64.042,792,3.20167,28.2,11.9,650,424.1536448,71.6,21,7.8,4.9,17.874,S
"Kane, IL",52.669,521,3.17471,27.8,9.3,473,397.831613,77.7,21.4,5,7.5,21.684,NC
"Tulare, CA",62.481,4824,3.11921,26.3,10.8,358,210.3096617,60.2,11.8,18,17.1,14.71,W
"Washington, OR",40.539,724,3.11554,27.6,10.1,353,94.36566374,88.2,29.8,4.8,4.4,19.932,W
"Orange, NY",35.674,816,3.07647,28,10.4,479,320.4971932,77.2,19.5,6.4,6.7,19.788,NE
"Waukesha, WI",29.322,556,3.04715,24.4,9.8,687,222.1748191,88,27.1,2.2,4.1,23.004,NC
"Allen, IN",65.956,657,3.00836,27.4,11.4,552,421.4921087,81.2,19,5.6,5.9,19.123,NC
"Charleston, SC",95.547,917,2.95039,34.1,10.1,1357,662.9632015,75.5,22.4,13.8,4.9,16.015,S
"Albany, NY",51.529,524,2.92594,30.4,14.7,1257,425.8460529,80.9,28.3,6,4.5,21.003,NE
"Butler, OH",47.516,467,2.91479,29.9,10.2,308,301.2223865,76,18.7,7.6,6.6,16.75,NC
"Nueces, TX",98.253,836,2.91145,27.3,10.1,584,482.9208813,68.9,17,17.2,7.7,15.124,S
"Lehigh, PA",42.091,347,2.9113,26.3,15.4,637,448.2533576,74.6,19.6,4.9,6.6,19.785,NE
"Seminole, FL",60.926,308,2.87529,27.9,10.3,357,122.4224339,84.6,26.3,5.3,6.1,17.885,S
"Richland, SC",84.352,757,2.8572,34.7,9.5,999,422.4415512,79.4,28,10.1,4.6,17.137,S
"Hamilton, TN",82.413,543,2.85536,26.3,13.5,738,550.8937577,72.5,19.7,10.2,5.9,18.242,S
"Washtenaw, MI",68.45,710,2.82937,39.5,7.5,2188,611.4435369,87.2,41.9,6.4,6,22.782,NC
"Lane, OR",56.876,4554,2.82912,27.4,13.1,497,231.1672888,83,22.2,9.4,6.5,15.701,W
"Ingham, MI",61.498,559,2.81912,37.4,8.7,729,510.0882545,83.9,29.2,11,6.9,17.458,NC
"Pasco, FL",44.495,745,2.81131,18.4,32.3,308,334.7194013,66.9,9.1,7.9,8.3,13.944,S
"Clackamas, OR",46.1,1868,2.7885,23.1,11.5,462,123.7224314,85.7,23.6,4.7,4.2,19.942,W
"Sarasota, FL",71.284,572,2.77776,18.2,32.1,631,490.6831404,81.3,21.9,4.6,5.1,24.948,S
"Erie, PA",36.056,802,2.75572,27.5,13.8,468,514.2031846,77.5,16.2,9.5,7.1,16.331,NE
"Dakota, MN",39.796,570,2.75227,30.6,6.4,201,102.8242142,90.7,27.6,3.3,4.7,21.123,NC
"Cumberland, NC",91.952,653,2.74566,37.4,6.2,291,213.4277369,80.3,16.6,12.1,6.4,12.923,S
"Denton, TX",74.479,889,2.73525,36.9,5,216,167.4435609,86.8,32.3,4.5,5.6,17.801,S
"Lorain, OH",36.382,493,2.71126,26.4,11.6,291,347.0711035,75.3,12.3,9.1,9.5,16.006,NC
"Forsyth, NC",81.067,410,2.65878,29.2,12.3,1194,605.1647748,77.6,24.1,7.8,4.4,20.645,S
"Rockland, NY",27.099,174,2.65475,25.5,10.1,931,280.6290611,83.3,33,4.1,5.3,26.757,NE
"Adams, CO",73.08,1192,2.65038,29.6,7.6,439,119.9827949,78.8,13,8.8,5,16.116,W
"Mahoning, OH",49.776,415,2.64806,23.5,17.1,601,556.2562782,74.6,14,12.8,6.7,16.256,NC
"Collin, TX",66.752,848,2.64036,29.8,5.3,282,216.258389,88.3,39.1,3.9,5.9,22.303,S
"Utah, UT",40.233,1998,2.6359,33.9,7,291,206.3811222,87.9,26.2,10.6,4.3,11.467,W
"St._Clair, IL",55.404,664,2.62852,26.8,12.7,329,413.9211419,72.6,14.7,13.9,8.4,16.19,NC
"Escambia, FL",54.719,664,2.62798,29.2,11.9,522,602.7443131,76.2,18.2,13.3,5.8,15.392,S
"Norfolk_City, VA",96.444,54,2.61229,41.7,10.5,1101,563.1074651,72.7,16.8,15.1,6.4,16.412,S
"Cameron, TX",72.436,906,2.6012,25.9,10.6,270,317.1613102,50,12,33.7,12.5,9.728,S
"Dutchess, NY",35.022,802,2.59462,29,11.4,535,285.5909536,79.8,24.8,3.6,5.1,22.173,NE
"New_London, CT",30.621,666,2.54957,31.2,11.9,486,201.9948462,80.9,21.8,4.7,6.8,20.259,NE
"Washoe, NV",73.944,6343,2.54667,29.5,10.3,603,388.7429467,82.5,20.7,6.3,5,21.327,W
"Hinds, MS",113.35,869,2.54441,29.5,11.2,1076,832.4130152,75.2,26.4,16.7,6.3,16.215,S
"Winnebago, IL",77.79,514,2.52913,26.5,12.7,521,359.8075227,76.3,16.7,7.7,7.9,18.376,NC
"Oneida, NY",36.813,1213,2.50836,27.7,15.5,437,360.7935065,75.1,16.7,8.8,6.7,16.477,NE
"Madison, IL",42.794,725,2.49238,26.2,13.9,275,449.3696788,75.8,14.4,8.5,7.9,17.98,NC
"Caddo, LA",88.986,882,2.48253,25.2,13.3,898,752.4581777,73.4,18.2,19.1,7.1,16.337,S
"Northampton, PA",26.11,374,2.47105,26.9,15,459,377.5722871,73.1,16.7,4.9,6.8,18.336,NE
"St._Joseph, IN",43.056,457,2.47052,28.2,14.1,417,375.2246491,76.1,19.2,7.1,5.7,17.211,NC
"Rockingham, NH",29.673,695,2.45845,29,9.2,343,209.0748236,86.2,25.9,3.2,8,21.77,NE
"Cumberland, ME",56.824,836,2.43135,29.1,13,732,454.0687273,85,27.6,5.7,5.7,21.362,NE
"Somerset, NJ",34.576,305,2.40279,28.6,10.8,783,155.6523874,86.3,38.3,1.4,4.1,33.18,NE
"Jefferson, TX",90.548,904,2.39397,25.8,14,449,720.1426918,74.4,15.5,15.5,6.7,17.418,S
"Madison, AL",27.772,805,2.38912,31.4,8.9,399,390.520359,80.2,30.1,8.4,5.2,18.99,S
"Clark, WA",44.973,628,2.38053,25.3,10.6,256,125.6022818,83.9,16.8,7,6.6,16.79,W
"Dauphin, PA",48.622,525,2.37813,26.8,14.3,824,599.2103039,77.6,18.6,7.2,5.5,18.348,NE
"Marin, CA",41.113,520,2.30096,24.7,12.3,1001,212.0853904,91.9,44,3,4,37.541,W
"Gloucester, NJ",42.359,325,2.30082,28,10.8,199,147.3387749,77.5,18.1,4.7,7.1,18.523,NE
"Santa_Cruz, CA",59.665,446,2.29734,29.9,11.3,429,169.7615503,81.9,29.7,6.2,8,22.025,W
"Marion, OR",64.884,1185,2.28483,25.7,14.3,376,217.959323,78.7,17.5,9.4,5.7,16.022,W
"Trumbull, OH",32.11,616,2.27813,23.9,14.4,225,406.0347741,75.2,11.4,9.4,7.9,16.144,NC
"Spartanburg, SC",75.829,811,2.268,27,12.6,375,366.8430335,63,14.3,8.8,5.5,15.776,S
"Fort_Bend, TX",41.846,875,2.25421,26.8,4.9,231,133.5279322,80.9,30.2,6.9,3.8,18.301,S
"Fayette, KY",77.11,285,2.25366,34.9,9.9,1248,821.3306355,80.2,30.6,10.2,3.8,19.32,S
"Boulder, CO",62.679,743,2.25339,34.2,7.6,452,171.7412432,91.3,42.1,5.6,3.5,21.421,W
"Atlantic, NJ",112.189,561,2.24327,29,14.5,379,441.3200373,72.9,16.4,6.4,8.3,24.035,NE
"Kalamazoo, MI",68.511,562,2.23411,32.4,10.6,614,354.9511886,83.4,27.1,8.9,5.9,18.288,NC
"Lubbock, TX",65.169,900,2.22636,34.1,9.8,655,701.5936327,74.2,23.4,13.2,5.6,15.443,S
"Niagara, NY",42.749,523,2.20756,25.8,15.1,239,404.5190165,75.8,13.6,8.6,8.3,16.647,NE
"Lackawanna, PA",19.942,459,2.19039,24.3,19.8,429,518.6291026,73.3,14.8,7.8,7.9,16.963,NE
"Galveston, TX",85.493,399,2.17399,26.9,10.5,950,732.2940768,75.8,19.3,12.5,7,17.744,S
"San_Luis_Obispo, CA",37.313,3305,2.17162,31.4,14.1,424,240.373546,83.3,22.9,6.8,5.8,17.221,W
"Chatham, GA",86.348,440,2.16935,28.5,12.8,494,512.5959389,73.7,18.6,13.6,4.3,17.776,S
"Prince_William_County, VA",41.732,338,2.15686,32.3,3,196,70.93645392,87.8,27.6,2.3,4.3,20.543,S
"Lake, OH",25.434,228,2.15499,26.4,12,233,166.5901002,81.1,17.5,3.6,5.7,19.692,NC
"Lancaster, NE",76.83,839,2.13641,33.9,10.8,389,364.1623097,88.1,27.6,6,2.2,17.816,NC
"St._Charles, MO",36.565,561,2.12907,29,6.9,172,287.9191384,83.3,21.2,3.5,6.4,18.753,NC
"Broome, NY",35.044,707,2.1216,28.6,15,460,384.6153846,78.9,20.7,6.5,5.9,18.058,NE
"Saginaw, MI",76.387,809,2.11946,25.5,12,335,562.879224,74.8,13,14.7,8.8,16.904,NC
"Manatee, FL",79.903,741,2.11707,21,28.1,322,403.8600519,75.6,15.5,6.8,5.8,17.997,S
"Montgomery, AL",83.162,790,2.09085,28.4,11.6,419,527.0583734,75.3,24.2,14.1,5.9,17.469,S
"Greene, MO",65.165,675,2.07949,31,13.3,490,858.383546,78.9,20.7,9.2,4.8,16.63,NC
"Kanawha, WV",49.35,903,2.07619,23.9,15.7,569,646.376295,72.4,17.6,12.3,7.5,17.192,S
"Ada, ID",47.144,1055,2.05775,27.6,10.4,367,270.6839995,87.2,24.9,6.2,4.1,18.786,W
"Washington, PA",22.123,857,2.04584,23.7,17.5,236,335.8033864,73.2,13.6,9.7,7,16.625,NE
"St._Louis, MN",37.929,6226,1.98213,24.3,16.9,406,701.7703178,80.3,17.3,9.7,6.5,15.419,NC
"Cumberland, PA",26.872,550,1.95257,28.6,13.4,375,375.4026744,81,22.9,2.8,4.6,19.254,NE
"Marion, FL",76.27,1579,1.94833,21.6,22.1,235,231.4802934,69.6,11.5,10.8,8.6,13.802,S
